9.724349157733537252e-01 9.219178082191781254e-01 8.276595744680851352e-01
9.663093415007657505e-01 9.109589041095890183e-01 8.680851063829787551e-01
9.678407350689126609e-01 9.356164383561643705e-01 8.531914893617020823e-01
9.693721286370596824e-01 9.150684931506849473e-01 8.319148936170213116e-01
9.678407350689126609e-01 9.246575342465753744e-01 8.127659574468084624e-01
9.632465543644717076e-01 9.315068493150684414e-01 8.276595744680851352e-01
9.663093415007657505e-01 9.260273972602739434e-01 8.106382978723404298e-01
9.647779479326187291e-01 9.013698630136985912e-01 8.489361702127659060e-01
9.693721286370596824e-01 9.123287671232876983e-01 8.255319148936169915e-01
9.663093415007657505e-01 9.205479452054794454e-01 8.276595744680851352e-01
