decay,dropout,hc,lr,n_lays,th_updates,tot_updates,x_updates,id,objective,elapsed_sec,duration
3.948929024264211e-05,0.1677704881640582,38.0,0.0026049708725612076,6.0,5.0,1713.0,19.0,2,0.97,366.1098880767822,365.4501123428345
0.0001,0.6,16,0.0001,10,5,500,2,1,0.9783333333333333,464.99114298820496,464.3313865661621
0.00175489851963607,0.89396551658503,80.0,0.0003513055499113982,2.0,6.0,865.0,17.0,3,0.935,623.3548905849457,256.6710147857666
0.0009075893543863065,0.470107915586018,101,0.0003032101283403615,12,18,274,9,4,0.94,1021.590309381485,555.3002994060516
0.00020968207726388555,0.9049484479421871,66,0.007215905037153648,17,5,963,9,5,0.9716666666666667,1328.787868976593,704.1398031711578
6.331688994770693e-05,0.09181114071570451,33,0.008616009608418096,20,5,90,9,6,0.9983333333333333,1795.225751399994,772.3409020900726
3.429838162501044e-06,0.7491377307225221,27,2.5632039548087117e-05,10,4,745,19,7,0.9516666666666667,1816.3093225955963,486.22955346107483
0.00021665123402844235,0.7637427091773026,26,1.0200958273645992e-05,20,14,227,1,8,0.98,2551.707066297531,755.1872696876526
2.1932442422479196e-06,0.7900579927271162,19,0.009368493548297564,20,3,95,13,9,0.9783333333333333,2589.2162551879883,771.5950508117676
4.171881734271413e-06,0.19354684618490353,93,0.09437109782789305,17,5,86,1,10,0.9666666666666667,3257.3727242946625,704.3600585460663
0.00017113641807576312,0.013046834532801055,21,0.007796982985812644,18,5,4828,17,11,0.9933333333333333,3291.6244535446167,701.1083805561066
0.19407893988232156,0.06610397755759054,11,0.00025672022635249897,19,18,1263,16,13,0.88,4034.1555120944977,741.2384188175201
2.4992183309778758e-06,0.068771948905539,123,0.00048511369612909595,20,13,1389,15,12,0.96,4056.8369505405426,798.156566619873
3.0951383569745324e-05,0.0494811843218315,93,0.021184605910309982,17,4,3441,14,14,0.9666666666666667,4767.001823663712,731.5442311763763
4.0643194145044026e-05,0.014672368602390271,86,0.011856019626627808,18,9,3018,6,15,0.9199999999999999,4809.991911172867,751.9756281375885
4.0538173951953005e-05,0.14289128061130643,9,0.031537748997065275,20,17,1850,2,16,0.9883333333333333,5540.740547180176,772.3249146938324
0.13917572516044338,0.09004380549173555,69,2.1161453224928304e-05,20,3,2083,3,17,0.9766666666666667,5583.7397544384,772.4457309246063
0.013282381203478535,0.06828388241533763,21,0.07400487964833895,19,10,2583,3,18,0.98,6256.801095724106,714.6986796855927
