1.000000000000000048e-04 5.999999999999999778e-01 1.600000000000000000e+01 1.000000000000000048e-04 1.000000000000000000e+01 5.000000000000000000e+00 5.000000000000000000e+02 2.000000000000000000e+00 1.000000000000000000e+00 9.337000000000000455e+01 5.654013514518737793e+01 5.598003244400023704e+01
9.685117367005999624e-04 1.764920287456333003e-01 6.000000000000000000e+01 1.274006592529399948e-03 2.000000000000000000e+01 8.000000000000000000e+00 2.701000000000000000e+03 5.000000000000000000e+00 2.000000000000000000e+00 9.210999999999999943e+01 5.715073370933532715e+01 5.659061431884765625e+01
1.066072485243999978e-04 1.041144210621498950e-01 4.700000000000000000e+01 1.927289479347180090e-02 5.000000000000000000e+00 2.000000000000000000e+01 4.346000000000000000e+03 1.800000000000000000e+01 3.000000000000000000e+00 8.304999999999999716e+01 1.316354894638061523e+02 7.450029277801513672e+01
5.207386828004592162e-06 8.488471632734210237e-01 1.090000000000000000e+02 2.374858660936059879e-02 1.400000000000000000e+01 8.000000000000000000e+00 4.614000000000000000e+03 5.000000000000000000e+00 4.000000000000000000e+00 7.603000000000000114e+01 1.397303218841552734e+02 8.120069026947021484e+01
1.562022374526400061e-03 4.129053920537792965e-01 8.000000000000000000e+00 2.706773842269889947e-05 8.000000000000000000e+00 5.000000000000000000e+00 4.125000000000000000e+03 2.000000000000000000e+00 5.000000000000000000e+00 8.828000000000000114e+01 1.896579210758208660e+02 5.667464470863342285e+01
3.470840347177922881e-06 5.418608042454198248e-01 9.000000000000000000e+01 1.603803637699429893e-02 1.400000000000000000e+01 3.000000000000000000e+00 7.500000000000000000e+02 1.000000000000000000e+00 6.000000000000000000e+00 8.709999999999999432e+01 2.052266538143157959e+02 6.406299614906311035e+01
6.212098978290470086e-01 6.884894707733275609e-01 8.500000000000000000e+01 3.825639949298335234e-05 1.800000000000000000e+01 4.000000000000000000e+00 1.168000000000000000e+03 1.700000000000000000e+01 7.000000000000000000e+00 5.032999999999999829e+01 2.615722837448120117e+02 7.075255942344665527e+01
1.673952137542999920e-04 7.003058887757253048e-01 2.500000000000000000e+01 8.547266720265510136e-05 1.600000000000000000e+01 5.000000000000000000e+00 2.040000000000000000e+03 7.000000000000000000e+00 8.000000000000000000e+00 9.251000000000000512e+01 2.660595104694366455e+02 5.969325017929077148e+01
8.384505176908214216e-06 6.439029226519847882e-01 4.000000000000000000e+01 1.022480796092200064e-03 1.900000000000000000e+01 3.000000000000000000e+00 1.058000000000000000e+03 2.000000000000000000e+01 9.000000000000000000e+00 9.026000000000000512e+01 3.101626141071320149e+02 4.744670128822326660e+01
2.402163183768711019e-01 8.764635905719549980e-01 1.000000000000000000e+01 2.292890000862600041e-03 8.000000000000000000e+00 6.000000000000000000e+00 3.191000000000000000e+03 1.200000000000000000e+01 1.000000000000000000e+01 5.332999999999999829e+01 3.141362228393554688e+02 4.695529603958129883e+01
