decay,dropout,hc,lr,n_lays,th_updates,tot_updates,x_updates,id,objective,elapsed_sec,duration
0.008447278289623588,0.9597443078327755,19.0,0.0002722843034256815,19.0,9.0,2303.0,9.0,2,0.9637581272989316,45.53103423118591,44.86812615394592
0.0001,0.6,16,0.0001,10,5,500,2,1,0.9431871955680192,46.12554121017456,45.462653398513794
0.6631060748412811,0.42539140039843676,20.0,0.00011524942204498618,20.0,15.0,226.0,20.0,3,0.7463439894104276,98.15201354026794,52.04638147354126
0.019436188133559577,0.6205028672328582,96,4.494959087938303e-05,20,20,1975,16,4,0.932323042065044,99.47033858299255,52.036306858062744
0.005541359724622663,0.54886242691301,18,0.0005360708063202765,15,11,2198,10,5,0.8825474917237349,152.1366798877716,52.685975790023804
0.0002323716377149561,0.5201078564637528,106,1.3824160392190125e-05,8,13,3097,7,6,0.9412691597152884,153.86564874649048,53.07968521118164
3.4256639218824978e-06,0.14193908849328907,39,0.00019288710790338483,12,11,3704,7,7,0.9429600381115103,205.19599509239197,51.75849366188049
1.7807992464911527e-05,0.1380661589540615,75,0.0002471563517866276,20,7,3104,1,8,0.9261766832125017,206.60947942733765,51.438740730285645
0.047251663644997575,0.7982238908906135,46,0.0002717947944113709,20,10,1397,20,10,0.9064587077942473,253.76220679283142,45.830376386642456
1.2219825047636902e-06,0.325220068506559,25,0.00029596476839520593,7,16,236,1,9,0.9393622674920392,255.08599877357483,48.58057975769043
0.2603628661215159,0.4200106239442648,9,0.0002462859947535038,14,13,1995,9,11,0.7262978943598803,297.86573600769043,42.800272941589355
2.387741054810796e-06,0.9186935124141902,15,0.0001570499356710981,15,14,94,5,12,0.9417260336460246,299.1908977031708,42.787193775177
0.009323856617827784,0.8077093593796809,8,2.2355013285744912e-05,14,15,3655,8,13,0.8290957859673288,341.449889421463,42.278594970703125
0.008513582456656217,0.9855466880735776,11,1.084120988926158e-05,1,11,1211,10,14,0.9242057262782404,342.78552889823914,42.28303861618042
0.6497074254975848,0.955312631909742,41,0.00026372223853322494,2,6,4534,7,15,0.9477946177013504,401.4611060619354,58.69611358642578
0.07893453453543127,0.9537214553065779,125,0.0003702397221527088,14,2,4738,8,16,0.9291589579977412,402.89623975753784,58.91444277763367
0.06687294435496019,0.4277597339502066,18,0.000296960305172234,17,3,2873,6,17,0.8924050585829083,447.48410272598267,44.60987901687622
0.004155855122370814,0.35716547634685386,15,0.00024328023706764046,19,12,672,6,18,0.9333771565117555,448.8170356750488,44.61041808128357
5.997975042048986e-05,0.9518437003273467,108,1.2545832124926166e-05,18,14,885,19,19,0.8613759719246,509.22679138183594,60.42895841598511
0.2763496655221812,0.9667147183663108,82,0.00023195076741874167,11,14,4006,3,20,0.66594502367017,510.55981707572937,60.43028998374939
0.1859405496855871,0.4085123423006549,27,0.00017765069042613153,4,17,3875,5,21,0.7919605557174778,527.2921123504639,16.753129959106445
0.0009237437988719586,0.9847644806186449,112,5.6965926240817885e-05,2,2,1535,9,22,0.9885200977366233,528.6214501857758,16.8580961227417
0.15106216711462622,0.9522534821010009,109,0.0003496588534580678,7,7,1476,8,23,0.8225055863208005,546.3288242816925,17.726921558380127
0.20735901603221324,0.9873357448718384,102,0.0002726090093669409,9,10,4673,19,24,0.7728601962498786,547.6602644920349,17.72706651687622
0.00019625718384189977,0.9877789999412546,98,5.808695551983204e-05,12,16,4823,9,25,0.9616633183705188,563.6281697750092,15.987017154693604
0.9333303874678169,0.8375529170353482,101,0.0002604791284403876,1,3,404,19,26,0.9580685903040902,602.2647769451141,53.29328536987305
0.4408709428527579,0.6841372870222033,80,0.00013079831676839301,3,4,3249,3,27,0.7450548916739532,617.3891854286194,52.44040846824646
