1.000000000000000000e+00 9.762569832402234749e-01 9.192982456140350589e-01 9.032679738562091609e-01 9.218045112781955153e-01 9.137254901960784048e-01
1.000000000000000000e+00 9.720670391061452253e-01 9.456140350877193512e-01 9.111111111111110938e-01 9.248120300751879741e-01 9.431372549019607643e-01
1.000000000000000000e+00 9.664804469273743370e-01 9.315789473684210620e-01 9.176470588235293713e-01 9.263157894736842035e-01 9.490196078431372140e-01
1.000000000000000000e+00 9.748603351955307250e-01 9.315789473684210620e-01 9.202614379084966822e-01 9.353383458646616910e-01 8.705882352941175517e-01
1.000000000000000000e+00 9.678770949720670869e-01 9.368421052631579204e-01 9.176470588235293713e-01 9.308270676691728918e-01 8.921568627450980893e-01
1.000000000000000000e+00 9.692737430167597257e-01 9.350877192982456343e-01 9.254901960784314152e-01 9.353383458646616910e-01 9.078431372549019551e-01
1.000000000000000000e+00 9.650837988826815872e-01 9.368421052631579204e-01 9.333333333333333481e-01 9.458646616541352969e-01 9.019607843137255054e-01
1.000000000000000000e+00 9.622905027932960875e-01 9.403508771929824928e-01 9.163398692810457158e-01 9.218045112781955153e-01 9.019607843137255054e-01
1.000000000000000000e+00 9.483240223463687002e-01 9.350877192982456343e-01 9.254901960784314152e-01 9.323308270676691212e-01 9.117647058823528106e-01
1.000000000000000000e+00 9.734636871508379752e-01 9.403508771929824928e-01 9.281045751633987262e-01 9.353383458646616910e-01 8.803921568627450789e-01
