9.705882352941176405e-01 8.723769001982815130e-01 8.593621825971603512e-01
9.551470588235294601e-01 8.753525005507820644e-01 8.515820337219276448e-01
9.551470588235294601e-01 8.701916721744877847e-01 8.330970439016310847e-01
9.308823529411764941e-01 8.518506278916060381e-01 8.571811205955010005e-01
9.727941176470588092e-01 8.672642652566644461e-01 8.558235872243550313e-01
9.470588235294117307e-01 8.539670081515752242e-01 8.483461185095602097e-01
9.566176470588235725e-01 8.687210839391936723e-01 8.536512752363675238e-01
9.419117647058823373e-01 8.768437431152236172e-01 8.548452771019955376e-01
9.507352941176470118e-01 8.688037012557832117e-01 8.515565766509008983e-01
9.544117647058824039e-01 8.734523022692223249e-01 8.542535066461041104e-01
